,股票日期,更新時間點,股票類別,股票名稱,股票代號,開盤價,漲停價,跌停價,當日最高,當日最低,成交價,成交量
110,20210531,13:30:00,電機機械,亞崴,1530,35.0000,38.9000,31.9000,35.9500,35.0000,-,1530
111,20210531,13:30:00,電機機械,高林股,1531,14.8500,16.0500,13.1500,14.8500,14.5000,14.5500,1531
112,20210531,13:30:00,電機機械,勤美,1532,32.9000,36.1500,29.6500,33.4000,32.8500,33.1500,1532
113,20210531,13:30:00,電機機械,中宇,1535,38.5000,42.3500,34.6500,38.6000,38.3000,38.4000,1535
114,20210531,13:30:00,電機機械,廣隆,1537,144.0000,158.0000,130.0000,144.0000,143.0000,143.5000,1537
115,20210531,13:30:00,電機機械,正峰,1538,12.5000,13.7500,11.2500,12.5500,12.5000,12.5000,1538
116,20210531,13:30:00,電機機械,巨庭,1539,17.5000,19.4500,15.9500,17.9500,17.5000,17.5000,1539
117,20210531,13:30:00,電機機械,喬福,1540,16.0000,17.6000,14.4000,16.0000,15.8500,15.9500,1540
118,20210531,13:30:00,電機機械,錩泰,1541,49.8000,54.7000,44.8500,50.8000,49.0000,-,1541
119,20210531,13:30:00,電機機械,伸興,1558,165.0000,181.5000,148.5000,166.0000,164.0000,164.5000,1558
120,20210531,13:30:00,電機機械,中砂,1560,64.2000,70.6000,57.8000,64.7000,64.2000,64.5000,1560
121,20210531,13:30:00,電機機械,程泰,1583,63.7000,69.4000,56.8000,63.7000,63.1000,-,1583
122,20210531,13:30:00,電機機械,永冠-KY,1589,72.9000,79.6000,65.2000,74.6000,72.8000,72.8000,1589
123,20210531,13:30:00,電機機械,亞德客-KY,1590,1000.0000,1105.0000,905.0000,1010.0000,988.0000,998.0000,1590
124,20210531,13:30:00,電機機械,直得,1597,104.0000,113.5000,93.2000,104.5000,100.5000,101.0000,1597
125,20210531,13:30:00,電機機械,上銀,2049,370.5000,405.0000,332.0000,376.0000,364.0000,368.0000,2049
